W 00800000 0609 f0ff  pc=0012972c  t=2.464920 s=108702
W 00800000 0649 f0ff  pc=0012973a  t=2.464936 s=108703
W 00800000 0689 f0ff  pc=0012972c  t=2.464953 s=108704
W 00800000 06c9 f0ff  pc=0012973a  t=2.464969 s=108705
W 00800000 0709 f0ff  pc=0012972c  t=2.464985 s=108705
W 00800000 0749 f0ff  pc=0012973a  t=2.465001 s=108706
W 00800000 0789 f0ff  pc=0012972c  t=2.465017 s=108707
W 00800000 07c9 f0ff  pc=0012973a  t=2.465033 s=108707
W 00800000 0809 f0ff  pc=0012972c  t=2.465049 s=108708
W 00800000 0849 f0ff  pc=0012973a  t=2.465065 s=108709
W 00800000 0889 f0ff  pc=0012972c  t=2.465081 s=108710
W 00800000 08c9 f0ff  pc=0012973a  t=2.465097 s=108710
W 00800000 0909 f0ff  pc=0012972c  t=2.465114 s=108711
W 00800000 0949 f0ff  pc=0012973a  t=2.465130 s=108712
W 00800000 0989 f0ff  pc=0012972c  t=2.465146 s=108712
W 00800000 09c9 f0ff  pc=0012973a  t=2.465162 s=108713
W 00800000 0a09 f0ff  pc=0012972c  t=2.465178 s=108714
W 00800000 0a49 f0ff  pc=0012973a  t=2.465194 s=108715
W 00800000 0a89 f0ff  pc=0012972c  t=2.465210 s=108715
W 00800000 0ac9 f0ff  pc=0012973a  t=2.465226 s=108716
W 00800000 0b09 f0ff  pc=0012972c  t=2.465243 s=108717
W 00800000 0b49 f0ff  pc=0012973a  t=2.465259 s=108717
W 00800000 0b89 f0ff  pc=0012972c  t=2.465275 s=108718
W 00800000 0bc9 f0ff  pc=0012973a  t=2.465291 s=108719
W 00800000 0c09 f0ff  pc=0012972c  t=2.465307 s=108720
W 00800000 0c49 f0ff  pc=0012973a  t=2.465323 s=108720
W 00800000 0c89 f0ff  pc=0012972c  t=2.465339 s=108721
W 00800000 0cc9 f0ff  pc=0012973a  t=2.465355 s=108722
W 00800000 0d09 f0ff  pc=0012972c  t=2.465371 s=108722
W 00800000 0d49 f0ff  pc=0012973a  t=2.465387 s=108723
W 00800000 0d89 f0ff  pc=0012972c  t=2.465404 s=108724
W 00800000 0dc9 f0ff  pc=0012973a  t=2.465420 s=108725
W 00800000 0e09 f0ff  pc=0012972c  t=2.465436 s=108725
W 00800000 0e49 f0ff  pc=0012973a  t=2.465452 s=108726
W 00800000 0e89 f0ff  pc=0012972c  t=2.465468 s=108727
W 00800000 0ec9 f0ff  pc=0012973a  t=2.465484 s=108727
W 00800000 0f09 f0ff  pc=0012972c  t=2.465500 s=108728
W 00800000 0f49 f0ff  pc=0012973a  t=2.465516 s=108729
W 00800000 0f89 f0ff  pc=0012972c  t=2.465532 s=108729
W 00800000 0fc9 f0ff  pc=0012973a  t=2.465548 s=108730
W 00802000 0009 f0ff  pc=0012972c  t=2.465565 s=108731
W 00802000 0049 f0ff  pc=0012973a  t=2.465565 s=108731
W 00802000 0089 f0ff  pc=0012972c  t=2.465565 s=108731
W 00802000 00c9 f0ff  pc=0012973a  t=2.465566 s=108731
W 00802000 0109 f0ff  pc=0012972c  t=2.465566 s=108731
W 00802000 0149 f0ff  pc=0012973a  t=2.465566 s=108731
W 00802000 0189 f0ff  pc=0012972c  t=2.465567 s=108731
W 00802000 01c9 f0ff  pc=0012973a  t=2.465567 s=108731
W 00802000 0209 f0ff  pc=0012972c  t=2.465568 s=108731
W 00802000 0249 f0ff  pc=0012973a  t=2.465568 s=108731
W 00802000 0289 f0ff  pc=0012972c  t=2.465569 s=108731
W 00802000 02c9 f0ff  pc=0012973a  t=2.465569 s=108731
W 00802000 0309 f0ff  pc=0012972c  t=2.465569 s=108731
W 00802000 0349 f0ff  pc=0012973a  t=2.465570 s=108731
W 00802000 0389 f0ff  pc=0012972c  t=2.465570 s=108731
